name,org,desc_url,download_url,file_types,size,status
Biological and Chemical Oceanography Data Management Office,NSF OCE and PLR,http://www.bco-dmo.org/,http://www.bco-dmo.org/data,"txt, csv, tsv, Matlab, netcdf",,
TOGA_TAO via PMEL,NOAA,http://www.pmel.noaa.gov/tao/,http://www.pmel.noaa.gov/tao/data_deliv/frames/main.html,,,
"OceanColor Web, Ocean Biology Processing Group",NASA,http://oceancolor.gsfc.nasa.gov/cms/,http://oceandata.sci.gsfc.nasa.gov/,"NetCDF4, HDF4",,
NOAA's National Centers for Environmental Information (NCEI) ,NOAA,https://www.ncdc.noaa.gov,ftp://eclipse.ncdc.noaa.gov/pub,NetCDF,,"CLAIMED 2016-12-14. So far, 40gb of data has been downloaded. I am not sure how big the entire data set is. I will provide regular updates in the meantime."
IOOS Ocean Acidification Portal,,,http://www.ipacoa.org/,,,
"West Coast Ocean Data Portal (regional, not federal)",,,http://portal.westcoastoceans.org/about/,,,
MACA Downscaled Climate Data for CONUS,NKN,http://climate.nkn.uidaho.edu/MACA/,http://climate.nkn.uidaho.edu/MACA/,"NetCDF, CSV, OPeNDAP",~10K GB,
Jason SAT data,,,http://sealevel.jpl.nasa.gov/missions/jason3/,,,
Historical METDATA/gridMET,NKN,http://climate.nkn.uidaho.edu/METDATA/,http://climate.nkn.uidaho.edu/METDATA/,"NetCDF, CSV, OPeNDAP",~5K GB,
Global Change Information System,USGCRP,http://data.globalchange.gov,,JSON,,CLAIMED 2016-12-15
ORNL Daymet,ORNL,https://daymet.ornl.gov/,https://daac.ornl.gov/cgi-bin/dataset_lister.pl?p=32,,,in progress
Climate.gov (data catalog),NOAA,https://www.climate.gov/,,"NetCDF, CSV, shp, kml,json",,
STORET,EPA,,https://www.epa.gov/waterdata/storage-and-retrieval-and-water-quality-exchange,,,
National Environmental Health Tracking Portal,CDC,https://ephtracking.cdc.gov/showHome.action,https://ephtracking.cdc.gov/DataExplorer,excel,small,
Dataset Gallery,NOAA,https://www.climate.gov/maps-data/datasets,,,,
LANDSAT Archive Gallery,USGS,https://earthexplorer.usgs.gov/,,GeoTIFF,Large (hundreds TB),
NOAA Land Based Datasets,NOAA/NWS,https://www.ncdc.noaa.gov/data-access/land-based-station-data/land-based-datasets,,,,
Precipitation-Frequency Data Server,NOAA,http://hdsc.nws.noaa.gov/hdsc/pfds/,,"pdf, .csv, ",,Backed HTTP portion of a few PDFS and a much larger FTP site with per state data files at ftp://hdsc.nws.noaa.gov/pub
NOAA Severe Weather Data,NOAA/NWS,https://www.ncdc.noaa.gov/data-access/severe-weather,,,,
